2Theta,Intensity
21.1000,0.0000
21.1200,0.0000
21.1400,0.0000
21.1600,0.0000
21.1800,0.0000
21.2000,0.0000
21.2200,0.0000
21.2400,0.0000
21.2600,0.0000
21.2800,0.0000
21.3000,0.0000
21.3200,0.0000
21.3400,0.0000
21.3600,0.0000
21.3800,0.0000
21.4000,0.0000
21.4200,0.0000
21.4400,0.0000
21.4600,0.0000
21.4800,0.0000
21.5000,0.0000
21.5200,0.0000
21.5400,0.0000
21.5600,0.0007
21.5800,0.0123
21.6000,0.1316
21.6200,0.8955
21.6400,3.8759
21.6600,10.6677
21.6800,18.6716
21.7000,20.7826
21.7200,14.7105
21.7400,6.6216
21.7600,1.8954
21.7800,0.3450
21.8000,0.0399
21.8200,0.0029
21.8400,0.0001
21.8600,0.0000
21.8800,0.0000
21.9000,0.0000
21.9200,0.0000
21.9400,0.0000
21.9600,0.0000
21.9800,0.0000
22.0000,0.0000
22.0200,0.0000
22.0400,0.0000
22.0600,0.0000
22.0800,0.0000
22.1000,0.0001
22.1200,0.0030
22.1400,0.0404
22.1600,0.3445
22.1800,1.8701
22.2000,6.4558
22.2200,14.1727
22.2400,19.7862
22.2600,17.5663
22.2800,9.9176
22.3000,3.5608
22.3200,0.8130
22.3400,0.1180
22.3600,0.0109
22.3800,0.0006
22.4000,0.0000
22.4200,0.0000
22.4400,0.0000
22.4600,0.0000
22.4800,0.0000
22.5000,0.0000
22.5200,0.0000
22.5400,0.0000
22.5600,0.0000
22.5800,0.0000
22.6000,0.0000
22.6200,0.0000
22.6400,0.0000
22.6600,0.0000
22.6800,0.0000
22.7000,0.0000
22.7200,0.0000
22.7400,0.0000
22.7600,0.0000
22.7800,0.0000
22.8000,0.0000
22.8200,0.0000
22.8400,0.0000
22.8600,0.0000
22.8800,0.0000
22.9000,0.0000
22.9200,0.0000
22.9400,0.0000
22.9600,0.0000
22.9800,0.0000
23.0000,0.0000
23.0200,0.0000
23.0400,0.0000
23.0600,0.0000
23.0800,0.0000
23.1000,0.0000
23.1200,0.0000
23.1400,0.0000
23.1600,0.0000
23.1800,0.0000
23.2000,0.0000
23.2200,0.0000
23.2400,0.0000
23.2600,0.0000
23.2800,0.0000
